,user_id,First Name,Surnam,Gender,state,Age,date_joined,n_dependants,fam_status,income
0,26711,Deborah,Esquivel,Female,Missouri,48,1/1/2017,3,married,165665
1,33890,Patricia,Hart,Female,New Mexico,36,1/1/2017,0,single,59285
2,65803,Kenneth,Farley,Male,Idaho,35,1/1/2017,2,married,99568
3,125935,Michelle,Hicks,Female,Iowa,40,1/1/2017,0,single,42049
4,130797,Ann,Gilmore,Female,Maryland,26,1/1/2017,1,married,40374
5,133128,Cynthia,Noble,Female,Kentucky,43,1/1/2017,2,married,49643
6,152052,Chris,Walton,Male,Montana,20,1/1/2017,0,single,61746
7,168851,Joseph,Hickman,Male,South Carolina,30,1/1/2017,0,single,63712
8,69965,Jeremy,Vang,Male,Texas,47,1/1/2017,1,married,162432
9,82820,Shawn,Chung,Male,Virginia,26,1/1/2017,2,married,32072
10,26441,Gloria,Stafford,Female,Nevada,19,1/1/2017,2,living with parents and siblings,43443
11,33835,Roger,Casey,Male,Nebraska,45,1/1/2017,2,married,47988
12,75032,Cynthia,Mcdaniel,Female,Georgia,75,1/1/2017,1,married,57835
13,51,Stephanie,Jensen,Female,Wyoming,37,1/1/2017,1,married,71190
14,516,Peter,Hunt,Male,Colorado,51,1/1/2017,2,married,146559
15,6965,Brandon,Mata,Male,North Dakota,70,1/1/2017,0,divorced/widowed,100091
16,8794,Amy,Mack,Female,Nebraska,30,1/1/2017,3,married,57096
17,9944,Brian,Oneill,Male,Wisconsin,26,1/1/2017,1,married,91826
18,13313,Victor,Moss,Male,Alaska,31,1/1/2017,2,married,91111
19,17335,Patrick,Fowler,Male,Vermont,65,1/1/2017,1,married,34514
20,29864,Randy,Mills,Male,North Dakota,39,1/1/2017,1,married,44364
21,37744,Wanda,Salas,Female,Arkansas,77,1/1/2017,1,married,125977
22,50000,Sandra,Trejo,Female,Maine,64,1/1/2017,2,married,115489
23,55567,Martha,Hurst,Female,North Carolina,67,1/1/2017,2,married,48645
24,57549,Shawn,Moore,Male,Montana,72,1/1/2017,0,divorced/widowed,135302
25,60386,Wayne,Woodward,Male,Alaska,59,1/1/2017,2,married,136778
26,68032,Charles,Stevenson,Male,West Virginia,74,1/1/2017,2,married,34992
27,83910,Ruth,Rice,Female,Indiana,70,1/1/2017,1,married,165147
28,86936,Kimberly,Monroe,Female,Oregon,57,1/1/2017,3,married,44967
29,99199,Kimberly,Monroe,Female,Arkansas,80,1/1/2017,0,divorced/widowed,138075
30,100123,Steve,Rogers,Male,Florida,31,1/1/2017,2,married,95906
31,104359,Carl,Benton,Male,Idaho,66,1/1/2017,1,married,104025
32,112664,Nicholas,Logan,Male,California,64,1/1/2017,3,married,111354
33,113616,Stephen,Murillo,Male,Pennsylvania,57,1/1/2017,2,married,118164
34,117740,Lisa,Sparks,Female,Oregon,55,1/1/2017,1,married,292759
35,127020,Judy,Barrett,Female,Ohio,35,1/1/2017,3,married,68933
36,135871,Doris,Mckee,Female,Connecticut,80,1/1/2017,0,divorced/widowed,125558
37,139692,Barbara,Chang,Female,Arizona,54,1/1/2017,3,married,113960
38,149755,Adam,Brewer,Male,Louisiana,72,1/1/2017,2,married,93903
39,150670,Terry,Wilkerson,Male,Iowa,55,1/1/2017,2,married,166288
40,155598,Marie,Beard,Female,Washington,73,1/1/2017,1,married,168998
41,159323,Rebecca,Tran,Female,Wisconsin,75,1/1/2017,3,married,113641
42,165553,Lillian,Schaefer,Female,Connecticut,71,1/1/2017,2,married,169397
43,166899,Kathryn,Guerrero,Female,New York,56,1/1/2017,2,married,64599
44,168047,Shirley,Harrison,Female,Alaska,37,1/1/2017,3,married,73158
45,180190,Douglas,Hebert,Male,Connecticut,30,1/1/2017,2,married,60248
46,180333,Christopher,Munoz,Male,Washington,80,1/1/2017,1,married,48411
47,195665,Brandon,Mckinney,Male,North Dakota,57,1/1/2017,0,single,158582
48,197419,Craig,Clark,Male,West Virginia,36,1/1/2017,2,married,94979
49,201111,Jimmy,Cobb,Male,Kentucky,53,1/1/2017,0,single,52416
50,81446,Henry,Kemp,Male,Wisconsin,56,1/1/2017,1,married,143641
51,19658,Sara,Diaz,Female,Nevada,50,1/1/2017,1,married,143086
52,69366,Carlos,Eaton,Male,Colorado,30,1/1/2017,2,married,99478
53,76659,,Gilbert,Male,Colorado,26,1/1/2017,2,married,41709
54,159514,Jonathan,Andersen,Male,Mississippi,24,1/1/2017,0,single,76100
55,54950,Steve,Tanner,Male,Nevada,66,1/1/2017,0,divorced/widowed,138170
56,172673,Bonnie,Raymond,Female,Missouri,40,1/1/2017,1,married,82200
57,19666,Julie,Ellison,Female,Oklahoma,27,1/1/2017,3,married,70247
58,23357,Marie,Keller,Female,Wisconsin,27,1/1/2017,0,single,86224
59,31590,Beverly,Sanford,Female,Montana,46,1/1/2017,0,single,154076
60,76694,Laura,Rios,Female,South Carolina,40,1/1/2017,3,married,88372
61,153147,Frank,Howell,Male,Utah,48,1/1/2017,1,married,128416
62,5763,Jeremy,Bennett,Male,Wyoming,31,1/1/2017,2,married,30081
63,22641,James,Hunter,Male,Washington,77,1/1/2017,0,divorced/widowed,51258
64,58111,Michelle,Hayes,Female,Nebraska,20,1/1/2017,1,living with parents and siblings,45285
65,73344,Brenda,Bernal,Female,Colorado,43,1/1/2017,0,single,98219
66,160051,Stephen,Murillo,Male,Idaho,45,1/1/2017,1,married,139281
67,27668,Ashley,Romero,Female,New Mexico,61,1/1/2017,3,married,101192
68,85245,Bruce,Mcpherson,Male,New Hampshire,25,1/1/2017,0,single,74788
69,96515,Todd,Richards,Male,Nevada,32,1/1/2017,1,married,40485
70,133871,Ralph,Randall,Male,Virginia,28,1/1/2017,2,married,88984
71,163800,Keith,Frederick,Male,Pennsylvania,58,1/1/2017,0,single,160461
72,11244,Johnny,Cochran,Male,New Hampshire,24,1/1/2017,1,married,61903
73,13738,,Frost,Female,Louisiana,39,1/1/2017,0,single,82518
74,14083,Irene,Holmes,Female,Connecticut,80,1/1/2017,1,married,166726
75,26595,Annie,Mendoza,Female,New Hampshire,33,1/1/2017,3,married,54044
76,26787,Henry,Ford,Male,Hawaii,48,1/1/2017,2,married,110601
77,29024,Carolyn,Enriquez,Female,California,36,1/1/2017,1,married,58375
78,55942,Gerald,Watson,Male,Vermont,64,1/1/2017,0,divorced/widowed,148705
79,64741,Annie,Mendoza,Female,Nebraska,34,1/1/2017,1,married,95592
80,78654,Christina,Walker,Female,Hawaii,60,1/1/2017,0,divorced/widowed,96010
81,88801,Irene,Reyes,Female,Florida,80,1/1/2017,2,married,150156
82,89996,,Dawson,Female,Oregon,52,1/1/2017,3,married,117099
83,119571,Matthew,Chan,Male,New York,58,1/1/2017,2,married,98633
84,131752,Doris,Richmond,Female,Louisiana,31,1/1/2017,3,married,83897
85,177059,Jeremy,Holland,Male,Missouri,62,1/1/2017,0,divorced/widowed,99672
86,199734,Steven,Butler,Male,Kentucky,62,1/1/2017,2,married,93080
87,32,Harry,Short,Male,Oregon,80,1/1/2017,1,married,112006
88,77447,Ruby,Miller,Female,North Dakota,36,1/1/2017,2,married,59026
89,128168,Joshua,Guerra,Male,California,75,1/1/2017,3,married,164310
90,145236,Larry,Tang,Male,Pennsylvania,76,1/1/2017,2,married,47486
91,202887,John,Harris,Male,District of Columbia,20,1/1/2017,3,living with parents and siblings,84380
92,93034,Emily,Mejia,Female,Florida,56,1/1/2017,0,single,87563
93,127640,Albert,Hancock,Male,Missouri,48,1/1/2017,1,married,38020
94,47548,Stephanie,Berger,Female,Iowa,72,1/1/2017,3,married,124764
95,86389,Stephen,Murillo,Male,Vermont,69,1/1/2017,3,married,66800
96,102956,Kathy,Mitchell,Female,Missouri,78,1/1/2017,1,married,96314
97,180919,Jacqueline,Roach,Female,Nebraska,21,1/1/2017,3,living with parents and siblings,56831
98,74155,Karen,Berg,Female,Alabama,33,1/1/2017,3,married,95285
99,96166,,Oconnor,Male,Oklahoma,51,1/1/2017,1,married,155673
100,187203,Alice,Mayo,Female,Maryland,44,1/1/2017,3,married,118149
101,55027,Janice,Hughes,Female,West Virginia,25,1/1/2017,0,single,72550
102,101206,Douglas,Campos,Male,Nebraska,64,1/1/2017,0,divorced/widowed,98949
103,118448,Jeffrey,Xiong,Male,New Mexico,58,1/1/2017,1,married,45755
104,121771,Benjamin,Moon,Male,Massachusetts,29,1/1/2017,0,single,67141
105,29778,,Dawson,Female,Utah,63,1/1/2017,3,married,151819
106,63697,Emily,Mejia,Female,West Virginia,22,1/1/2017,1,married,68214
107,58792,Cynthia,Macias,Female,Rhode Island,73,1/1/2017,1,married,112213
108,81227,Phyllis,Mercado,Female,Michigan,31,1/1/2017,3,married,43851
109,523,Susan,Terry,Female,Idaho,81,1/1/2017,1,married,103488
110,121186,Irene,George,Female,Florida,49,1/1/2017,0,single,100546
111,2667,Katherine,Bradley,Female,Indiana,38,1/1/2017,3,married,91081
112,34292,Jerry,Bentley,Male,Maine,60,1/1/2017,1,married,137824
113,47092,Brenda,Pennington,Female,Louisiana,32,1/1/2017,3,married,82695
114,56250,Sharon,Barber,Female,Washington,70,1/1/2017,2,married,165602
115,87542,Charles,Todd,Male,New Mexico,22,1/1/2017,2,married,99475
116,90628,Daniel,Hoffman,Male,Alabama,28,1/1/2017,0,single,32517
117,92718,Kathy,Bell,Female,Wyoming,30,1/1/2017,2,married,86989
118,101664,Irene,Kirk,Female,Montana,46,1/1/2017,2,married,155783
119,141012,Jeremy,Schultz,Male,Washington,39,1/1/2017,2,married,49188
120,148671,Adam,Castro,Male,Colorado,29,1/1/2017,1,married,49777
121,148726,Jennifer,Horton,Female,Florida,51,1/1/2017,2,married,72326
122,155355,Bonnie,Richardson,Female,District of Columbia,60,1/1/2017,1,married,115744
123,181279,Brandon,Webb,Male,New Jersey,43,1/1/2017,1,married,88379
124,53918,Diana,Frank,Female,Georgia,50,1/1/2017,0,single,42339
125,100698,Katherine,Rush,Female,New Hampshire,47,1/1/2017,2,married,132924
126,137282,Michelle,Palacios,Female,South Carolina,67,1/1/2017,1,married,96300
127,5132,Michelle,Hicks,Female,Oregon,75,1/1/2017,0,divorced/widowed,121565
128,8562,,Oconnor,Male,Utah,46,1/1/2017,1,married,134898
129,203116,Rebecca,Tran,Female,Massachusetts,54,1/1/2017,0,single,119552
130,25534,Frances,Collier,Female,Massachusetts,22,1/1/2017,1,married,87261
131,109160,Rose,Simon,Female,Maine,72,1/1/2017,0,divorced/widowed,140153
132,50936,Carl,Benton,Male,Missouri,35,1/1/2017,2,married,47405
133,146250,Theresa,Scott,Female,Maryland,38,1/1/2017,3,married,52065
134,74691,Henry,Singh,Male,New York,29,1/1/2017,1,married,74013
135,173192,Anne,Santana,Female,Virginia,21,1/1/2017,2,living with parents and siblings,78404
136,184433,Phillip,Peck,Male,Kansas,59,1/1/2017,1,married,143885
137,96561,Stephanie,Hill,Female,Kentucky,40,1/1/2017,2,married,87808
138,144623,Philip,Duran,Male,Missouri,38,1/1/2017,2,married,62855
139,51925,Scott,Fletcher,Male,Connecticut,66,1/1/2017,0,divorced/widowed,36490
140,149267,,Hutchinson,Male,South Carolina,20,1/1/2017,0,single,86778
141,142187,Linda,Duncan,Female,Wisconsin,21,1/1/2017,0,single,86721
142,17127,Jack,Love,Male,South Dakota,59,1/1/2017,1,married,43767
143,172494,Christine,Glover,Female,Hawaii,36,1/1/2017,0,single,88285
144,50211,Russell,Holt,Male,New York,78,1/1/2017,1,married,166936
145,94875,Anna,Allison,Female,Indiana,37,1/1/2017,1,married,29021
146,125636,Judith,Dodson,Female,Nevada,49,1/1/2017,1,married,31363
147,179481,Andrea,Rosario,Female,Hawaii,25,1/1/2017,1,married,74041
148,162944,Gregory,Richard,Male,Wisconsin,76,1/1/2017,0,divorced/widowed,35530
149,82632,,Orr,Male,Hawaii,61,1/1/2017,1,married,118130
150,95131,Andrea,Bonilla,Female,Iowa,81,1/1/2017,0,divorced/widowed,137274
151,92412,Alice,Blevins,Female,Wyoming,73,1/1/2017,1,married,167494
152,166108,Julie,Newton,Female,Alabama,19,1/1/2017,1,living with parents and siblings,32931
153,181039,Stephen,Hubbard,Male,Rhode Island,57,1/1/2017,3,married,55149
154,180420,Ronald,Shelton,Male,Maryland,75,1/1/2017,0,divorced/widowed,165522
